timestep,temperature,pressure,battery,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
0,25.248358,997.23474,101.29538,0.5444134,-0.036016554,0.016405642,-0.16492625,0.056343466,0.6626333,-0.29447532,0.5791672,-0.34388524,-0.7577824,1.0174546,-0.047947407,0.276178,-0.58570904,0.81284714,-0.01185149
1,25.923353,995.3667,99.48197,0.5768332,-0.009381413,-0.03022635,-0.20550193,0.06799802,0.65075725,-0.29903018,0.5603286,-0.3615793,-0.75547934,1.0316358,-0.059245974,0.27670592,-0.5938703,0.8081911,-0.04287806
2,26.113476,1015.45026,98.962036,0.6488431,-0.015137106,0.0038502216,-0.15574738,0.08373782,0.7002279,-0.2836526,0.5283118,-0.40259814,-0.7506807,0.97493386,-0.08323938,0.33296445,-0.5772042,0.8698707,-0.007991537
3,25.746927,990.88025,98.92005,0.5580263,-0.015691817,-0.043881476,-0.21306135,0.055483192,0.63905174,-0.2928971,0.5610835,-0.3442132,-0.74334115,1.0308834,-0.060881793,0.26240915,-0.59310234,0.7864844,-0.049835213
4,25.750679,961.92676,96.357254,0.48187548,-0.0032244623,-0.14614785,-0.30760357,0.022084087,0.5597205,-0.2941658,0.57225233,-0.2837131,-0.7151945,1.0872942,-0.05547464,0.18209426,-0.61184144,0.67892057,-0.12248444
5,25.492233,979.98834,100.377235,0.50683004,-0.01639685,-0.04216546,-0.22966585,0.048855275,0.6153387,-0.30718285,0.5910733,-0.32025084,-0.75670874,1.068336,-0.0377993,0.23109281,-0.60306996,0.7585062,-0.059320375
6,25.46588,972.0455,102.62296,0.47097653,-0.0069490075,-0.028487027,-0.24477336,0.05707112,0.5995717,-0.3322345,0.62440324,-0.3140022,-0.78715605,1.1158539,-0.009158522,0.21053596,-0.6168467,0.75033426,-0.06558776
7,25.972902,1001.70105,96.81107,0.6107856,-0.017813146,-0.054104507,-0.19756281,0.056986302,0.66143674,-0.27224427,0.524635,-0.36431986,-0.7204515,0.98505723,-0.09008181,0.29286104,-0.58067006,0.8087798,-0.042534485
8,25.95772,1002.6193,97.308,0.6105994,-0.017855078,-0.044694662,-0.19255511,0.06009546,0.66485584,-0.27537555,0.5285918,-0.36723208,-0.7263701,0.98730135,-0.08648533,0.29550532,-0.5810929,0.81495726,-0.037986793
9,26.593287,988.4318,98.970245,0.5875087,0.023479521,-0.07025218,-0.25664952,0.08449796,0.6285028,-0.31876123,0.56136584,-0.37526536,-0.77123773,1.0751612,-0.053423345,0.26415926,-0.6106247,0.7976021,-0.07880788
10,26.225637,1037.5641,99.47439,0.71880114,-0.023114085,0.058932424,-0.0932248,0.10435513,0.7573556,-0.27339423,0.5045423,-0.447954,-0.7566856,0.9205302,-0.1001336,0.39459014,-0.56047475,0.94375837,0.037918657
11,26.129005,1017.00995,97.02322,0.6633277,-0.020211518,-0.019944191,-0.15812792,0.07317039,0.70029664,-0.26608658,0.5064076,-0.39842105,-0.7252016,0.94917357,-0.10267711,0.3362161,-0.5700488,0.86056095,-0.013600007
12,26.952744,961.38306,96.761314,0.5311403,0.051342756,-0.17223161,-0.3597085,0.067145854,0.55291957,-0.33141315,0.57226765,-0.33424658,-0.75864697,1.1453049,-0.04475063,0.192765,-0.63506216,0.7061615,-0.15596376
13,27.091988,1015.42896,99.69263,0.68835616,0.029997677,-0.01082474,-0.19559664,0.12317529,0.6965692,-0.31710237,0.53188795,-0.44603556,-0.7912869,1.0254431,-0.07121417,0.3430358,-0.59696245,0.89632124,-0.032596722
14,27.066149,994.6737,96.36603,0.6394645,0.034014642,-0.10414073,-0.26701275,0.088944405,0.63689095,-0.30435956,0.52477646,-0.3956803,-0.75049156,1.0478685,-0.08128235,0.2842969,-0.6052768,0.80752444,-0.09037487
15,26.87735,991.53033,101.35125,0.5983243,0.039913714,-0.037195385,-0.25190002,0.111332506,0.63970596,-0.34470236,0.58057505,-0.40175694,-0.81112975,1.1051334,-0.03297177,0.2768216,-0.6202196,0.8309075,-0.06989491
16,27.597132,965.511,99.84619,0.5576395,0.08479887,-0.13614428,-0.36512944,0.111839324,0.5662979,-0.3725921,0.5959011,-0.38024253,-0.8190452,1.1957264,-0.016887665,0.21221791,-0.65232545,0.755614,-0.15201347
17,27.333063,987.30005,100.3666,0.61004156,0.060391188,-0.07216287,-0.2873286,0.11888978,0.62455237,-0.35223562,0.57414174,-0.4094398,-0.81332755,1.1261369,-0.035394996,0.2692359,-0.6291992,0.8204615,-0.09608546
18,28.249878,1019.54236,97.44064,0.762273,0.07309678,-0.062057555,-0.24065576,0.15295634,0.6966617,-0.3264435,0.49890333,-0.49254042,-0.79727334,1.0379304,-0.09000352,0.36437503,-0.606896,0.91710997,-0.06656292
19,27.63843,1007.58154,100.987144,0.6823959,0.062411487,-0.024679184,-0.23822193,0.1459594,0.67619956,-0.34974128,0.55307055,-0.46003222,-0.8272301,1.0866747,-0.048410296,0.32785124,-0.617939,0.8937101,-0.0590643
20,27.671173,997.2831,96.81433,0.67190754,0.06022939,-0.10723838,-0.28387395,0.11490008,0.6413449,-0.32290238,0.5235656,-0.42711467,-0.7750408,1.0713499,-0.07651615,0.29766265,-0.61507326,0.8318777,-0.10004714
21,27.393116,1017.31757,101.63964,0.6982578,0.04689899,0.01298058,-0.1965962,0.1471825,0.7037209,-0.34074247,0.548153,-0.46942776,-0.8262099,1.0548189,-0.053472996,0.35231584,-0.6066309,0.9230654,-0.028627686
22,28.146524,1021.19275,99.62139,0.7525884,0.07281494,-0.025297523,-0.22416389,0.16384616,0.7057562,-0.34108144,0.519488,-0.49963146,-0.82255125,1.0531898,-0.07202414,0.36913678,-0.61028194,0.9361482,-0.050605245
23,27.941338,1008.3862,101.89749,0.69390845,0.077542305,-0.017836392,-0.24590948,0.16291907,0.6785051,-0.3653512,0.5601267,-0.4775635,-0.84869844,1.107634,-0.039168477,0.3335833,-0.6254271,0.90946776,-0.061972372
24,28.40237,1032.5304,93.63018,0.8263513,0.062152326,-0.089120984,-0.22112009,0.14256325,0.7216039,-0.28731787,0.44255,-0.5067619,-0.749114,0.96339154,-0.13753119,0.39899132,-0.58589464,0.9318014,-0.060021743
25,29.004602,1002.9931,98.16719,0.74158275,0.11892676,-0.109081626,-0.31996235,0.17435059,0.65178084,-0.36695254,0.52468073,-0.49774325,-0.83398294,1.127332,-0.062592566,0.3272248,-0.6378305,0.8881384,-0.11985636
26,28.697412,961.49695,98.27474,0.6010707,0.13223734,-0.19511414,-0.42961818,0.13886651,0.547204,-0.39275157,0.5806034,-0.41278154,-0.8338079,1.2372906,-0.02151072,0.21126047,-0.6708035,0.7553544,-0.19859141
